quarter,ad_name,rev_gross,rev_qtd_current,rev_qtd_prev_qtd,rev_qtd_prev_year,impressions
2026-01-01,Bidswitch - Desktop - 1st Price (HB),194.47,,,,0
2026-01-01,Ad Theorent - APP [Display],194.14,,,,0
2025-10-01,Bidswitch - MW [Display],192.25,,,,0
2025-07-01,2509 - MGMPLUS - BILLY THE KID S3 TRAILER Cutdown - MGMPHD363273 - SERIES,191.42,,,,0
2026-01-01,Bidswitch - CTV - 1st Price (Bundle 151908),190.51,,,,0
2026-04-01,Centro Video InApp,188.2,,31.59,,0
2025-01-01,MadHive - APP - 1st Price,187.9,,,,0
2026-07-01,Viant - Desktop - 1st Price,185.19,185.19,,,0
2025-07-01,SmartyAds - CTV (LG),183.86,,,3.77,0
2026-01-01,0326 - MGMPLUS -  MARCH XCH - MGMP23433-13 - SERIES,183.12,,,,0
2026-01-01,Centro Video InApp,183.04,,,,0
2026-04-01,"2605 - MGMPLUS - MAY 2026 - FROM S4 PROMO ""Lullabies"" - MGMPHDD363412 - MOVIES",181.82,,,,0
2026-07-01,TrueX Cox games,180.96,180.96,,,0
2025-10-01,SmartyAds - App (1st Price),180.6,,,,0
2025-01-01,Conversant AMC CTV (205656),180.5,,,,0
2025-07-01,SmartyAds - Web Video,179.01,,,17.8,0
2025-07-01,TrueX Samsung games,177.6,,,17.88,0
2026-01-01,0326 - MGMPLUS -  MARCH XCH - MGMP23433-13 - MOVIES,173.87,,,,0
2026-01-01,2602 - MGMPLUS  - FEB XCH - MGMP23430-13 - SERIES,173.84,,,,0
2026-01-01,Krush Media Video - CTV Direct (700),172.63,,,,0
2025-01-01,2503 - MGMPLUS - MARCH 2025 XCH - MGMP20309-14 - ORIGINAL SERIES,171.08,,,,0
2025-04-01,TrueX Samsung games,169.38,,,,0
2026-01-01,Sharethrough CTV Video - Shamrock Farms Bundle Optimized,167.27,,,,0
2025-01-01,Conversant Vizio CTV (203828),167.14,,,,0
2025-07-01,2507 - MGMPLUS - JULY XCH - SERIES - MGMPHD20311-12,166.34,,,166.34,0
2025-10-01,SmartyAds - Web Video,164.15,,,,0
2025-10-01,2511 - MGMPLUS - NOVEMBER XCH - MGMP23418-13 - MOVIES,163.92,,,,0
2025-07-01,2508 - MGMPLUS - INSTITUTE S1 PROMO - MGMPHD363209 - MOVIES,163.89,,,,0
2026-01-01,2602 - MGMPLUS -  VANISHED Trailer - MGMPHD363360 - MOVIES,163.47,,,,0
2025-01-01,Conversant Filmrise CTV (203765),163.16,,,,0
2026-01-01,2602 - MGMPLUS  - VANISHED Trailer - MGMPHD363360 - SERIES,163.08,,,,0
2025-10-01,SmartyAds - (Seedtag),161.94,,,,0
2025-01-01,Bidswitch - CTV - 1st Price (Bundle 151908),161.43,,,,0
2025-04-01,Amobee - Desktop/MW - 1st price,159.4,,,,0
2026-04-01,2604 - MGMPLUS - AMERICAN CLASSIC PROMO - MGMPHD363418 - MOVIES,159.35,,159.35,,0
2026-07-01,PlayWire RON,159.2,159.2,,,0
2025-07-01,Conversant Philo CTV (125613) (b07bkpfxtj),157.57,,,45.88,0
2025-07-01,2509 - MGMPLUS - SEPT 2025 XCH - MGMP20329-12 - SERIES,155.62,,,,0
2026-01-01,SmartyAds - CTV (LATAM),155.13,,,,0
2025-07-01,2509 - MGMPLUS - SEPT 2025 XCH - MGMP20329-12 - MOVIES,152.27,,,,0
2026-01-01,SmartyAds - CTV (Canada),151.36,,,,0
2026-07-01,TTD - Desktop [Display],150.4,150.4,,,0
2025-04-01,TrueX Cox AVOD,150.08,,,,0
2025-04-01,SmartyAds - App (1st Price),149.91,,,,0
2025-04-01,SmartyAds - CTV (LG),149.15,,,,0
2025-01-01,Shaw FW,148.89,,,,0
2026-07-01,2607 - MGMPLUS - WESTIES - PROMO A - Pre-Premiere - MGMPHD363429 - MOVIES,148.72,148.72,,,0
2025-10-01,TrueX Samsung games,148.62,,,,0
2025-04-01,Viant - Desktop - 1st Price,148.62,,,,0
2025-04-01,Krush Media Web Video,146.7,,,,0
2025-04-01,Conversant AMC CTV (205656),142.4,,,,0
2025-07-01,TrueX Cox AVOD,142.16,,,22.56,0
2025-04-01,Conversant Filmrise CTV (203765),140.85,,,,0
2026-04-01,2604 - MGMPLUS - FROM S4 TRAILER - MGMPHD363410 - SERIES,140.29,,13.13,,0
2025-07-01,2509 - MGMPLUS - BILLY THE KID S3 TRAILER Cutdown - MGMPHD363273 (MOVIES),136.53,,,,0
2026-04-01,SmartyAds - CTV (Canada),135.11,,30.9,,0
2025-04-01,DeepIntent CTV OLV Demand,133.2,,,,0
2025-01-01,Conversant Xumo CTV (203761),130.97,,,,0
2025-10-01,2510 - MGMPLUS - OCTOBER XCH - MGMP20330-09 - (SERIES),130.32,,,,0
2025-01-01,Unruly Web 1st Price Video (Mobile Only),128.43,,,,0
2026-04-01,SmartyAds - CTV (1st Price),128.09,,34.68,,0
2025-04-01,2505 - MGMPLUS -  MAY 2025 XCH - MGMP20313-14 (SERIES Short Run),126.86,,,,0
2025-04-01,SmartyAds - Web (Taboola),126.0,,,,0
2025-01-01,Amobee - APP [Display],125.58,,,,0
2025-10-01,SmartyAds - CTV (LATAM),124.82,,,,0
2026-04-01,2606 - MGMPLUS - WESTIES PRE-PREMIERE - Promo A - MGMPHD363429 - SERIES,123.92,,,,0
2026-04-01,2606 - MGMPLUS - JUNE 2026 XCH - MGMP23455-13 - MOVIES,123.71,,,,0
2025-10-01,TTD - APP - 1st Price,123.19,,,,0
2025-10-01,2510 - MGMPLUS - OCTOBER XCH - MGMP20330-09 - (MOVIES),123.13,,,,0
2025-10-01,PlayWire RON,121.74,,,,0
2025-07-01,Bidswitch - APP Display,118.75,,,36.08,0
2026-01-01,0326 - MGMPLUS - AMERICAN CLASSIC TRAILER - MGMPHD363384 - SERIES,118.69,,,,0
2026-01-01,SmartyAds - CTV (Streaming Apps),118.18,,,,0
2025-01-01,TrueX Samsung games,117.54,,,,0
2025-01-01,Conversant Philo CTV (202994),116.45,,,,0
2025-04-01,IQM - Web Video - Open Auction,115.08,,,,0
2025-04-01,DeepIntent Web/InApp Display,114.53,,,,0
2026-01-01,Ad Theorent - APP Video 1st Price,114.21,,,,0
2025-07-01,Bidswitch - APP,113.9,,,7.5,0
2026-04-01,Philips_SC_Spain,112.84,,13.27,,0
2026-04-01,2606 - MGMPLUS - FROM S4 CRITICS PROMO - MGMPHD363434 - MOVIES,111.96,,,,0
2025-07-01,IQM - Web Video - Open Auction,111.53,,,9.89,0
2025-04-01,TTD - APP - 1st Price,109.85,,,,0
2026-04-01,2604 - MGMPLUS - APRIL 2026 XCH - MGMP23440-13 - MOVIES,108.71,,,,0
2025-04-01,Marketing Architects - CTV 1st Price (Hearst),108.22,,,,0
2026-07-01,IDVx Vizio $8 US,107.32,107.32,,,0
2025-04-01,Conversant Newsy  CTV (204776),107.02,,,,0
2025-04-01,Zhu Zhu Pets Animal City,105.93,,,,0
2025-10-01,Zhu Zhu Pets City November,105.87,,,,0
2026-07-01,Ad Theorent - APP Video 1st Price,103.48,103.48,,,0
2025-04-01,Conversant Philo CTV (125613) (b07bkpfxtj),103.34,,,,0
2026-07-01,Basis - CTV - oRTB - (Canada),102.85,102.85,,,0
2026-04-01,2604 - MGMPLUS - AMERICAN CLASSIC PROMO - MGMPHD363418 - SERIES,100.68,,100.68,,0
2025-10-01,Ad Theorent - APP Video 1st Price,100.68,,,,0
2026-07-01,Bidswitch - MW [Display],100.06,100.06,,,0
2025-04-01,Conversant Haystack CTV (204774),98.29,,,,0
2025-07-01,SimpliFi - CTV - 1st Price (Glewed),98.17,,,16.84,0
2025-04-01,Krush Media Web Display,97.63,,,,0
2026-07-01,Viant - APP - 1st Price,97.33,97.33,,,0
2025-01-01,TrueX Cox AVOD,96.96,,,,0
2025-04-01,0425 - MGMPLUS -  APRIL 2025 XCH PROMO - MGMP20312-14 - (SERIES until 4/13/25),95.53,,,,0
2025-01-01,Conversant Haystack CTV (204774),94.9,,,,0
2025-10-01,Bidswitch - Desktop [Display],92.97,,,,0
2025-10-01,Zhu Zhu Pets City October 2025,91.79,,,,0
2026-01-01,Bidswitch - MW [Display],91.42,,,,0
2026-01-01,MetaX Paramount $10.11,91.06,,,,0
2026-07-01,Viant - APP,89.05,89.05,,,0
2025-10-01,Verizon - CTV (Charter),88.87,,,,0
2025-07-01,Conversant Philo CTV (202994),88.76,,,22.41,0
2025-04-01,Conversant Philo CTV (202994),84.02,,,,0
2025-07-01,Zhu Zhu Pets City,83.41,,,31.16,0
2025-10-01,DeepIntent Web/InApp Display,83.11,,,,0
2025-04-01,Conversant Newsy  CTV (204775),81.84,,,,0
2025-04-01,Adtelligent - CTV (Fubo),80.84,,,,0
2025-07-01,Conversant Newsy  CTV (204776),80.55,,,12.19,0
2026-04-01,TrueX Samsung games,79.98,,7.38,,0
2026-04-01,2604 - MGMPLUS - FROM S4 TRAILER - MGMPHD363410 - MOVIES,79.41,,14.51,,0
2025-04-01,SmartyAds - CTV (Vizio),78.79,,,,0
2026-04-01,IDVx Vizio $8 US,77.55,,,,0
2025-10-01,Marketing Architects - CTV 1st Price (Hearst),77.21,,,,0
2025-07-01,SmartyAds - App [Display],77.05,,,18.26,0
2026-04-01,2606 - MGMPLUS - WESTIES - Pre-Premiere Promo A -  MGMPHD363429 - MOVIES,77.04,,,,0
2026-01-01,TrueX Samsung games,76.62,,,,0
2026-01-01,TrueX Cox AVOD,75.4,,,,0
2025-07-01,DeepIntent Web/InApp Display,75.36,,,14.26,0
2025-10-01,SkyDE_SkyMedia_$9,75.15,,,,0
2025-04-01,Amobee - APP [Display],75.14,,,,0
2025-04-01,Conversant Philo Android CTV (202995),73.4,,,,0
2026-01-01,Bidswitch - MW - 1st Price (HB),72.31,,,,0
2025-10-01,GroundTruth Display,72.08,,,,0
2025-07-01,Roku_videos_xandr_,71.53,,,30.99,0
2026-01-01,Verizon - CTV (Charter),70.89,,,,0
2026-07-01,Centro Display Web,69.95,69.95,,,0
2025-01-01,Unruly Web Display (Mobile Only),69.69,,,,0
2025-04-01,0425 - MGMPLUS - APRIL 2025 GOH S4 PROMO - MGMPF362973-01,68.84,,,,0
2025-01-01,Krush Media Web Display,68.09,,,,0
2026-07-01,Conversant - InApp - Open Auction,67.93,67.93,,,0
2025-07-01,Marketing Architects - CTV 1st Price (Hearst),67.34,,,4.81,0
2025-01-01,Comcast_SuperAwesome_43703_$9 Kids Tweens,66.93,,,,0
2025-04-01,Verizon - CTV (Charter),66.63,,,,0
2025-04-01,Sharethrough CTV Video - Targeting away from Not Approved list,66.45,,,,0
2025-04-01,0425 - MGMPLUS -  APRIL 2025 XCH PROMO - MGMP20312-14 - (SERIES FULL MONTH),66.2,,,,0
2025-04-01,Conversant Newsy CTV (203803),66.01,,,,0
2026-01-01,Conversant - Web - Open Auction - Video,65.84,,,,0
2025-10-01,SmartyAds - Web [Display] (Allow List 9.7.21),65.21,,,,0
2026-07-01,StackAdapt - Desktop - Open Auction,64.39,64.39,,,0
2026-07-01,Centro Video Web (1st Price),63.61,63.61,,,0
2025-07-01,IQM - CTV - Open Auction,63.15,,,3.94,0
2026-04-01,Marketing Architects - OTT,62.25,,0.63,,0
2025-10-01,Dork Diaries,62.23,,,,0
2025-07-01,Storygize - MW (1st Price),59.39,,,43.8,0
2026-07-01,Ad Theorent - Desktop/MW Display,58.31,58.31,,,0
2025-07-01,GroundTruth Display,57.43,,,16.13,0
2026-07-01,TTD - CTV (UK) ,56.86,56.86,,,0
2026-04-01,Krush Media Web Display,56.57,,7.21,,0
2026-04-01,GroundTruth Video CTV - Efficiency Monitoring,55.45,,3.28,,0
2025-01-01,Ad Theorent - CTV (LQPS Audit),54.09,,,,0
2025-01-01,Madhive - Desktop,53.88,,,,0
2026-04-01,TTD - APP - 1st Price,53.69,,1.53,,0
2025-07-01,Conversant Haystack CTV (204774),53.58,,,4.16,0
2025-07-01,Conversant Newsy CTV (203803),53.5,,,8.9,0
2026-04-01,Ad Theorent - APP [Display],53.21,,15.37,,0
2025-01-01,Conversant AMC CTV (205656) (G15147002586),51.42,,,,0
2025-07-01,Verizon - CTV (Charter),51.24,,,2.09,0
2026-07-01,DeepIntent CTV OLV Demand,50.83,50.83,,,0
2025-04-01,Ad Theorent - CTV (LQPS Audit),50.59,,,,0
2025-07-01,Conversant Newsy  CTV (204775),49.74,,,8.06,0
2025-07-01,Roku_games_xandr_$9,49.59,,,27.17,0
2026-04-01,DeepIntent Web/InApp Display,49.44,,0.48,,0
2026-07-01,Octillion - CTV - Open,49.25,49.25,,,0
2025-01-01,Conversant Philo CTV (125613) (b07bkpfxtj),48.35,,,,0
2025-04-01,Conversant Xumo CTV (203761),47.68,,,,0
2026-01-01,Bidswitch - APP 1st Price,47.59,,,,0
2026-04-01,Bidswitch - APP 1st Price,46.86,,22.32,,0
2025-10-01,SimpliFi - Seedtag,46.47,,,,0
2026-07-01,LoopMe DSP Lottery Campaign copy (deal mimic),46.08,46.08,,,0
2026-07-01,Bidswitch - CTV (Charter),46.06,46.06,,,0
2025-01-01,DeepIntent Web/InApp Display,46.05,,,,0
2025-07-01,SmartyAds - CTV (Vizio),45.81,,,1.14,0
2025-07-01,Conversant Future Today CTV (225478),45.11,,,4.93,0
2025-01-01,Conversant Future Today CTV (225478),44.94,,,,0
2026-07-01,Bidswitch - Desktop [Display],43.9,43.9,,,0
2025-10-01,Bidswitch - APP,43.81,,,,0
2025-04-01,Madhive - Desktop,43.73,,,,0
2025-07-01,WINGSTOP LIGAMX FEMENIL_SEP_25,43.73,,,,0
2025-01-01,Unruly Web Display (Desktop Only),43.27,,,,0
2026-01-01,Bidswitch - APP,42.66,,,,0
2026-04-01,TrueX Cox AVOD,42.54,,4.02,,0
2025-01-01,Conversant Newsy  CTV (204776),42.24,,,,0
2025-04-01,Conversant AMC CTV (205656) (G15147002586),42.05,,,,0
2025-01-01,2503 - MGMPLUS - NINE BODIES IN A MEXICAN MORGUE - XCH PROMO - MGMPF362935-01 - ORIGINAL SERIES,41.66,,,,0
2025-10-01,Adtelligent - CTV (Fubo),41.44,,,,0
2025-04-01,Conversant Future Today CTV (225478),40.47,,,,0
2026-07-01,Sharethrough CTV Video - Shamrock Farms Bundle Optimized,39.59,39.59,,,0
2026-07-01,Bidswitch - APP Display,39.11,39.11,,,0
2025-01-01,*DNU* Aceex - News - Web Display - TEGNASOURCED 090924,37.83,,,,0
2025-01-01,Conversant Newsy  CTV (204775),37.44,,,,0
2026-07-01,Lemma DSP Inapp Video,37.43,37.43,,,0
2025-04-01,Amobee - APP 1st Price,36.3,,,,0
2025-07-01,Conversant AMC CTV (205656) (G15147002586),35.19,,,7.4,0
2025-04-01,MetaX Paramount $10.11,35.14,,,,0
2026-04-01,Bidswitch - MW [Display],34.32,,1.37,,0
2026-04-01,SmartyAds - CTV (Paramount),34.29,,14.0,,0
2025-01-01,Conversant Cheddar CTV (225831),34.13,,,,0
2025-01-01,2503 - MGMPLUS - MARCH 2025 XCH - MGMP20309-14 - ORIGINAL SERIES  -SPECIAL REQ,32.75,,,,0
2025-04-01,Viant - MW - 1st Price,32.56,,,,0
2025-07-01,Conversant Philo Android CTV (202995),31.48,,,6.42,0
2025-10-01,Bidswitch - APP Display,31.41,,,,0
2025-01-01,Beeswax - CTV - Open Auction (Charter Political),31.03,,,,0
2026-07-01,TTD - APP - 1st Price,30.55,30.55,,,0
2025-10-01,IQM - Web Video - Open Auction,30.12,,,,0
2025-10-01,Ad Theorent - Desktop Video (LQPS Audit),30.12,,,,0
2025-01-01,PlayWire RON,29.99,,,,0
2026-01-01,Krush Media Web Display,29.96,,,,0
2026-01-01,Bidswitch - APP Display,29.49,,,,0
2026-04-01,MetaX Paramount $10.11,29.48,,1.51,,0
2025-10-01,FS_VD_WINGSTOP_LIGAMX_OCT25,28.45,,,,0
2025-01-01,Aceex - (Samsung) CTV,27.61,,,,0
2025-01-01,Conversant Newsy CTV (203803),27.12,,,,0
2025-10-01,Lemma DSP CTV Ad (COPPA),26.99,,,,0
2026-04-01,Equative CTV Video (copy),26.38,,,,0
2025-01-01,Viant - MW - 1st Price,26.35,,,,0
2025-04-01,IQM - CTV - Open Auction,25.79,,,,0
2026-07-01,Beeswax UR Improvement Tier 3 (Low UR),25.63,25.63,,,0
2026-07-01,Philips_SC_Spain,25.2,25.2,,,0
2026-01-01,TTD - APP - 1st Price,24.73,,,,0
2025-01-01,IQM - CTV - Open Auction,24.64,,,,0
2026-01-01,IQM - Web Video - Open Auction,24.48,,,,0
2025-10-01,SmartyAds - CTV (Vizio),24.45,,,,0
2026-07-01,StackAdapt - APP - Open Auction,24.22,24.22,,,0
2026-04-01,Krush Media Web Video,24.16,,12.09,,0
2025-01-01,Conversant Philo Android CTV (202995),23.11,,,,0
2025-01-01,Bidswitch - CTV (Charter),22.39,,,,0
2026-07-01,2607 - MGMPLUS - JULY XCH  - MGMP23457-13 - SERIES,21.54,21.54,,,0
2025-07-01,0,21.16,,,1.66,0
2025-10-01,Mighty Wheels November 2025,21.08,,,,0
2025-04-01,The Media Sense DSP CTV Ads Direct,20.81,,,,0
2025-10-01,Mighty Wheels October 2025,20.79,,,,0
2026-04-01,SmartyAds - CTV (LATAM),20.17,,2.35,,0
2025-04-01,SmartyAds - CTV (Fubo),20.0,,,,0
2025-01-01,Conversant Future Today CTV (225474),19.48,,,,0
2026-07-01,IQM - CTV - Open Auction,19.13,19.13,,,0
2025-01-01,Conversant Newsy CTV (202814),18.91,,,,0
2025-10-01,Mighty Wheels December 2025,18.88,,,,0
2025-07-01,Madhive - Desktop,18.75,,,3.65,0
2026-07-01,Viant - Desktop [Display],18.48,18.48,,,0
2026-01-01,GroundTruth Video CTV - Efficiency Monitoring,18.46,,,,0
2025-01-01,Sharethrough CTV Video,18.3,,,,0
2025-07-01,IQM - Display - Open Auction,18.17,,,2.63,0
2026-04-01,SmartyAds - CTV (Streaming Apps),18.05,,7.86,,0
2025-04-01,Samsung_SuperAwesome_ Kids Tweens,17.95,,,,0
2025-07-01,Conversant Newsy CTV (202814),17.92,,,2.33,0
2025-07-01,Conversant Xumo CTV (203761),17.91,,,1.8,0
2026-01-01,GroundTruth Display,16.89,,,,0
2026-07-01,Centro Video InApp,16.57,16.57,,,0
2026-04-01,Bidswitch - APP,16.4,,4.96,,0
2025-04-01,Conversant Future Today CTV (225474),15.77,,,,0
2025-01-01,LEAP McDonalds (2026),15.73,,,,0
2025-07-01,MadHive - APP - 1st Price,15.39,,,1.79,0
2026-04-01,Bidswitch - CTV (AMC),15.33,,0.73,,0
2026-07-01,DeepIntent Web/InApp Display,15.28,15.28,,,0
2025-04-01,Conversant Newsy CTV (202814),15.12,,,,0
2025-10-01,Bidswitch - CTV (AMC),14.77,,,,0
2025-10-01,SmartyAds - CTV (LG),14.74,,,,0
2025-07-01,SmartyAds - CTV (Fubo),14.64,,,0.31,0
2026-07-01,TTD - CTV (LATAM),13.87,13.87,,,0
2025-04-01,IQM - Display - Open Auction,13.82,,,,0
2025-01-01,Roku SA Kids Tweens Excluding Latam,13.79,,,,0
2026-01-01,SmartyAds - Web (Taboola),13.63,,,,0
2025-01-01,Verizon - CTV (Charter),13.63,,,,0
2026-01-01,Philips_SC_Spain,13.22,,,,0
2026-07-01,SmartyAds - CTV (1st Price),12.56,12.56,,,0
2026-04-01,Krush Media Video - CTV Direct (700),12.24,,6.02,,0
2025-04-01,Stirista - Open Auction - OLV (InApp),12.24,,,,0
2025-01-01,Madhive - MW,11.93,,,,0
2025-01-01,Conversant Happy Kids CTV (223878) (Bundle ID 32614),11.9,,,,0
2025-07-01,TTD - APP - 1st Price,11.8,,,0.64,0
2025-04-01,Conversant Future Today CTV (225473),11.51,,,,0
2025-04-01,MadHive - APP - 1st Price,11.46,,,,0
2025-07-01,Mighty Wheels August 2025,11.36,,,,0
2025-04-01,Bidswitch - CTV (AMC),11.33,,,,0
2025-10-01,Krush Media Web Display,11.24,,,,0
2025-01-01,LowBrow_30Sec_#1,11.22,,,,0
2025-07-01,Conversant Future Today CTV (225474),11.17,,,2.03,0
2026-04-01,IQM - Web Video - Open Auction,11.04,,4.14,,0
2026-04-01,MetaX A&amp;E Networks $16,10.65,,,,0
2025-01-01,Ad Theorent - MW (LQPS Audit),10.3,,,,0
2025-01-01,SmartyAds - CTV (Indirect),10.29,,,,0
2025-01-01,Conversant Future Today CTV (225473),10.22,,,,0
2025-07-01,Mighty Wheels September 2025,10.2,,,,0
2026-07-01,TrueX Samsung games,9.9,9.9,,,0
2026-07-01,Bidswitch - CTV (AMC),9.74,9.74,,,0
2026-07-01,Verizon - CTV (Charter),9.21,9.21,,,0
2026-04-01,Equative CTV Main,9.19,,,,0
2026-07-01,SmartyAds - CTV (Samsung),9.02,9.02,,,0
2026-07-01,Marketing Architects - OTT,8.95,8.95,,,0
2026-04-01,Marketing Architects - CTV 1st Price (Hearst),8.55,,4.54,,0
2025-01-01,Conversant NBC CTV (203766),8.39,,,,0
2025-04-01,Conversant Cheddar CTV (225831),8.35,,,,0
2025-07-01,Mighty Wheels September 2025 Dub01,8.27,,,,0
2025-07-01,LEAP McDonalds (2026),8.23,,,2.44,0
2025-04-01,LG_SuperAwesome_$9 Kids Tweens,8.01,,,,0
2025-01-01,Unruly Web 1st Price Video (Desktop Only),7.85,,,,0
2026-07-01,Equative CTV Video (copy),7.76,7.76,,,0
2025-07-01,Conversant Future Today CTV (225473),7.76,,,1.35,0
2025-04-01,Conversant Happy Kids CTV (223878) (Bundle ID 32614),7.64,,,,0
2025-07-01,Bidswitch - CTV (AMC),7.53,,,0.04,0
2025-01-01,2412-MGMPLUS-DEC 2024 XCH - MGMP20292-15 (SERIES),7.52,,,,0
2025-10-01,2509 - MGMPLUS - BILLY THE KID S3 TRAILER Cutdown - MGMPHD363273 - SERIES,7.39,,,,0
2026-04-01,Philips Zeasn,7.33,,0.04,,0
2025-01-01,Bidswitch - CTV (AMC),7.25,,,,0
2026-07-01,Conversant - Web - Open Auction - Display,7.11,7.11,,,0
2025-04-01,Ad Theorent - MW (LQPS Audit),6.87,,,,0
2025-04-01,Conversant Future Today CTV (225391),6.7,,,,0
2026-07-01,2607 - MGMPLUS - JULY XCH - MGMP23457-13 - MOVIES,6.68,6.68,,,0
2025-04-01,LEAP McDonalds ,6.55,,,,0
2026-04-01,Bidswitch - Desktop - 1st Price (HB),6.43,,0.99,,0
2025-07-01,Krush Media Web Display,6.25,,,0.67,0
2026-07-01,2606 - MGMPLUS - WESTIES PRE-PREMIERE - Promo A - MGMPHD363429 - SERIES,6.18,6.18,,,0
2025-01-01,Conversant Outside CTV (203821),6.14,,,,0
2026-07-01,TrueX Cox AVOD,6.12,6.12,,,0
2025-04-01,Madhive - MW,6.09,,,,0
2025-10-01,Stirista - Desktop [Display],6.05,,,,0
2026-07-01,Marketing Architects - CTV 1st Price - Roku Device Targeting Only,5.98,5.98,,,0
2025-10-01,Stirista - APP [Display],5.98,,,,0
2026-07-01,Equative CTV Main,5.91,5.91,,,0
2025-07-01,Mighty Wheels September 2025 Dub02,5.87,,,,0
2026-07-01,Sharethrough InApp Video (Open Auction),5.85,5.85,,,0
2025-01-01,Samsung_SuperAwesome_ Kids Tweens,5.81,,,,0
2026-07-01,SmartyAds - CTV (Canada),5.77,5.77,,,0
2026-01-01,DeepIntent Web/InApp Display,5.75,,,,0
2025-07-01,2506 - MGMPLUS - JUNE XCH - SERIES - MGMP20316-12 ,5.61,,,5.61,0
2025-04-01,Conversant Outside CTV (203821),5.57,,,,0
2025-10-01,SmartyAds - App [Display],5.55,,,,0
2025-04-01,Conversant OutsideTV CTV (204777),5.25,,,,0
2026-01-01,Lemma DSP CTV Ad (COPPA),5.2,,,,0
2025-07-01,Madhive - MW,5.1,,,0.86,0
2025-04-01,Ad Theorent - APP Video (LQPS Audit),5.05,,,,0
2026-01-01,2512 - MGMPLUS - DECEMBER 2025 - ROBIN HOOD PP CRITICS PROMO - MGMPHD363339-01 - SERIES ,5.04,,,,0
2025-04-01,LEAP McDonalds (2026),4.85,,,,0
2025-07-01,2506 - MGMPLUS - JUNE XCH - MOVIES - MGMP20316-12,4.69,,,4.69,0
2026-07-01,SmartyAds - CTV (Paramount),4.67,4.67,,,0
2025-04-01,Shaw FW,4.65,,,,0
2025-07-01,Zombies 4  Day and Date Afternoon (Urgency),4.65,,,4.65,0
2025-01-01,Stirista - Open Auction - OLV (InApp),4.46,,,,0
2025-04-01,Conversant NBC CTV (203766),4.4,,,,0
2025-07-01,IQM - In-App Video - Open Auction,4.38,,,0.46,0
2025-04-01,Bidswitch - CTV (Charter),4.31,,,,0
2025-10-01,LEAP McDonalds ,4.27,,,,0
2025-01-01,Beeswax Deal - Desktop/MW,4.26,,,,0
2025-04-01,Conversant Future Today CTV (225477),4.23,,,,0
2025-07-01,Conversant Happy Kids CTV (223878) (Bundle ID 32614),4.19,,,0.58,0
2025-07-01,Ad Theorent - Desktop Video (LQPS Audit),4.1,,,0.31,0
2025-01-01,Conversant Future Today CTV (225477),4.07,,,,0
2025-10-01,MetaX A&amp;E Networks $16,3.94,,,,0
2026-01-01,Bidswitch - CTV (AMC),3.81,,,,0
2026-01-01,IQM - Display - Open Auction,3.75,,,,0
2025-01-01,Conversant OutsideTV CTV (204777),3.68,,,,0
2025-10-01,Roku_videos_xandr_,3.57,,,,0
2026-07-01,MetaX A&amp;E Networks $16,3.46,3.46,,,0
2025-04-01,Centro Video InApp,3.46,,,,0
2025-10-01,Roku_games_xandr_$9,3.39,,,,0
2025-07-01,Conversant Outside CTV (203821),3.38,,,0.49,0
2025-01-01,Centro Video InApp,3.36,,,,0
2025-10-01,F0044470 FFC ESPECIAL SABADO 15,3.26,,,,0
2025-04-01,Vizio_SuperAwesome_10 Kids Tweens (copy),3.25,,,,0
2025-04-01,Vizio_SuperAwesome_ Kids Tweens,3.24,,,,0
2025-10-01,0,3.19,,,,0
2026-04-01,Ad Theorent - Desktop Video (LQPS Audit),3.09,,0.36,,0
2026-07-01,2606 - MGMPLUS - WESTIES - Pre-Premiere Promo A -  MGMPHD363429 - MOVIES,3.07,3.07,,,0
2025-07-01,Zhu Zhu Pets Animal City,3.03,,,3.03,0
2026-07-01,MetaX Paramount $10.11,3.02,3.02,,,0
2026-07-01,Bidswitch - APP,3.02,3.02,,,0
2025-07-01,Conversant Future Today CTV (225391),3.01,,,0.38,0
2025-10-01,Centro Video InApp,2.96,,,,0
2025-04-01,Marketing Architects - PlayerWON,2.81,,,,0
2025-01-01,2412-MGMPLUS-DEC 2024 XCH - MGMP20292-15 (MOVIES),2.79,,,,0
2026-07-01,Bidswitch - Desktop - 1st Price (HB),2.75,2.75,,,0
2025-04-01,2503 - MGMPLUS - MARCH 2025 XCH - MGMP20309-14 - ORIGINAL SERIES,2.74,,,,0
2026-04-01,IQM - Display - Open Auction,2.64,,0.68,,0
2026-07-01,SmartyAds - CTV (LATAM),2.62,2.62,,,0
2025-10-01,IQM - Display - Open Auction,2.62,,,,0
2026-01-01,SmartyAds - CTV (LG),2.59,,,,0
2026-07-01,Krush Media Web Display,2.57,2.57,,,0
2025-07-01,Zombies 4 Now Available Afternoon (Urgency),2.48,,,2.18,0
2025-01-01,Ad Theorent - Desktop Video (LQPS Audit),2.29,,,,0
2025-01-01,BizzClick - App (Indirect),2.19,,,,0
2026-01-01,Marketing Architects - CTV 1st Price - Roku Device Targeting Only,2.14,,,,0
2025-07-01,Conversant OutsideTV CTV (204777),2.1,,,0.17,0
2025-10-01,2509 - MGMPLUS - BILLY THE KID S3 TRAILER Cutdown - MGMPHD363273 (MOVIES),2.06,,,,0
2026-04-01,0326 - MGMPLUS -  AMERICAN CLASSIC PROMO - MGMPHD363384 - MOVIES ,2.06,,2.06,,0
