quarter,ad_name,rev_gross,rev_qtd_current,rev_qtd_prev_qtd,rev_qtd_prev_year,impressions
2026-04-01,Yahoo - In-App,40874.93,,3248.84,,0
2025-07-01,Viant - Desktop,40582.75,,,10679.4,0
2025-07-01,Centro Display Web,40332.5,,,6251.88,0
2026-01-01,Beeswax UR Improvement Tier 2 (Mid UR),40053.57,,,,0
2026-01-01,Sharethrough CTV Video,39757.33,,,,0
2025-04-01,Amobee - CTV - 1st Price,39717.77,,,,0
2025-10-01,Yahoo - CTV - Open Auction,39247.36,,,,0
2025-10-01,Centro Video Web (1st Price),39065.39,,,,0
2026-07-01,TTD - CTV (1st Price),38600.91,38600.91,,,0
2025-04-01,TTD - APP,38502.23,,,,0
2025-04-01,Beeswax UR Improvement Tier 2 (Mid UR),38495.79,,,,0
2026-01-01,Lemma DSP CTV Ad,38338.17,,,,0
2025-10-01,TTD - APP [Display],37533.06,,,,0
2025-10-01,TrueX Vizio games,37240.24,,,,0
2026-04-01,TTD - APP [Display],36568.21,,5949.38,,0
2025-10-01,Adtelligent - CTV - A+E Networks $15,36286.48,,,,0
2025-10-01,TTD - APP,35839.44,,,,0
2026-04-01,TrueX Roku Games,35520.66,,4009.8,,0
2025-04-01,GroundTruth Video CTV - No LatLong,35454.91,,,,0
2025-07-01,Beeswax - CTV - Open Auction EAST,35226.49,,,4188.77,0
2025-07-01,TrueX Comcast games,34552.38,,,4423.14,0
2025-01-01,Ad Theorent - Desktop/MW Display,34138.36,,,,0
2025-10-01,GroundTruth Video CTV,33756.25,,,,0
2025-04-01,TrueX Comcast games,33469.5,,,,0
2026-01-01,TrueX Roku AVOD,32919.94,,,,0
2025-01-01,Conversant - Web - Open Auction - Video,32729.17,,,,0
2025-04-01,Bidswitch - APP 1st Price,32249.34,,,,0
2025-01-01,GroundTruth Video CTV,32044.16,,,,0
2026-01-01,Adtelligent - CTV - A+E Networks $15,31489.79,,,,0
2025-01-01,SimpliFi - CTV - 1st Price,31163.8,,,,0
