period,connection_type,business_line,product_category,dsp_group_name,clearvu_account,channel_id,rev_gross
previous_week,Direct,DSP Marketplace - BFM,CTV,Basis Technologies,,Basis Technologies,2582.56
current_week,Direct,Open Auction - BFM,CTV,Sharethrough,,Sharethrough,2579.33
previous_week,Direct,Open Auction - BFM,CTV,LoopMe,,LoopMe,2540.69
current_week,Direct,Open Auction - BFM,CTV,Equativ,,Equativ,2451.64
previous_week,Direct,Open Auction - BFM,CTV,Adtelligent,,Adtelligent,2363.86
current_week,BidSwitch,Open Auction - Seedtag,Display,DV360,,GDN,2300.88
previous_week,BidSwitch,Open Auction - BFM,CTV,Zeta DSP,,Zeta DSP,2292.1
previous_week,Direct,Open Auction - Seedtag,Display,Opera,,Opera,2292.07
previous_week,Direct,Open Auction - Seedtag,Online Video,RtbHouse,,RtbHouse,2222.48
current_week,Direct,DSP Marketplace - BFM,CTV,Octillion,,Octillion,2137.9
current_week,Direct,DSP Marketplace - BFM,CTV,Beeswax,,Beeswax,1940.98
previous_week,Direct,Open Auction - BFM,CTV,Marketing Architects,,Marketing Architects -RTB,1912.46
current_week,Direct,Open Auction - Seedtag,Display,Opera,,Opera,1850.51
previous_week,Direct,Open Auction - Seedtag,Online Video,Viant,,Viant,1771.18
current_week,Direct,PMP CTV - O&O,CTV,Walmart,,Walmart,1724.16
current_week,BidSwitch,Open Auction - BFM,CTV,DV360,,DV360,1706.31
current_week,Direct,Open Auction - Seedtag,Online Video,Viant,,Viant,1603.42
current_week,Direct,Open Auction - Seedtag,Display,Illumin,,Illumin,1555.66
previous_week,Direct,DSP Marketplace - BFM,CTV,Beeswax,,Beeswax,1447.76
previous_week,BidSwitch,Open Auction - BFM,CTV,DV360,,DV360,1422.26
current_week,Direct,Open Auction - BFM,CTV,Adtelligent,,Adtelligent,1420.38
previous_week,Direct,Select - BFM,CTV,Yahoo DSP,Camelot,Yahoo DSP,1408.67
previous_week,Direct,Open Auction - Seedtag,Display,Beeswax,,Beeswax,1402.71
previous_week,Direct,PMP CTV - O&O,CTV,Walmart,,Walmart,1395.6
current_week,Direct,Open Auction - BFM,CTV,Marketing Architects,,Marketing Architects -RTB,1392.95
previous_week,Direct,Open Auction - Seedtag,Display,Illumin,,Illumin,1368.31
current_week,Direct,Open Auction - Seedtag,Online Video,RtbHouse,,RtbHouse,1358.63
previous_week,Direct,Open Auction - BFM,CTV,Adtheorent,,Adtheorent,1352.87
previous_week,Direct,Open Auction - BFM,Display,TheTradeDesk,,TheTradeDesk,1348.69
current_week,Direct,Open Auction - Seedtag,Display,Beeswax,,Beeswax,1323.37
current_week,Direct,Select - BFM,CTV,TheTradeDesk,Strategus,TheTradeDesk,1152.55
current_week,Direct,Open Auction - BFM,Display,TheTradeDesk,,TheTradeDesk,1138.59
current_week,Direct,Open Auction - Seedtag,Display,Viant,,Viant,1106.68
previous_week,Direct,DSP Marketplace - BFM,CTV,MadHive,,MadHive,1087.14
current_week,Direct,Select - BFM,CTV,TheTradeDesk,IRIS,TheTradeDesk,1040.6
previous_week,Direct,PMP - Curation,Native,RtbHouse,,RtbHouse,1020.76
previous_week,Direct,Open Auction - Seedtag,Native,Nexxen,,Nexxen,929.5
current_week,Direct,Open Auction - Seedtag,Native,Nexxen,,Nexxen,923.04
current_week,Direct,Open Auction - BFM,CTV,DSP Not Found,,Other,920.78
