quarter,advertiser,ad_name,rev_gross,rev_qtd_current,rev_qtd_prev_qtd,rev_qtd_prev_year,impressions,outgoing_bids
2026-04-01,Beeswax,Beeswax - CTV - Open Auction WEST,42354.53,,9686.24,,0,0
2025-07-01,Basis Technologies,Centro Video Web (1st Price),42055.61,,,18310.8,0,0
2025-10-01,Viant,Viant - MW - 1st Price,41869.34,,,,0,0
2025-01-01,Viant,Viant - Desktop,41752.49,,,,0,0
2025-07-01,Xandr,Xandr CTV,41404.62,,,24587.12,0,0
2025-01-01,Xandr,Xandr CTV,41205.0,,,,0,0
2026-01-01,TheTradeDesk,TTD - APP,41135.07,,,,0,0
2026-04-01,Yahoo DSP,Yahoo - In-App,40874.92,,10569.41,,0,0
2025-07-01,Viant,Viant - Desktop,40731.41,,,24838.2,0,0
2025-07-01,Basis Technologies,Centro Display Web,40697.25,,,20025.16,0,0
2026-01-01,Beeswax,Beeswax UR Improvement Tier 2 (Mid UR),40055.14,,,,0,0
2025-04-01,Amobee,Amobee - CTV - 1st Price,39451.27,,,,0,0
2025-10-01,Basis Technologies,Centro Video Web (1st Price),39067.85,,,,0,0
2026-01-01,Sharethrough,Sharethrough CTV Video,38880.56,,,,0,0
2025-10-01,Yahoo DSP,Yahoo - CTV - Open Auction,38801.14,,,,0,0
2026-04-01,Sharethrough,Sharethrough CTV Video,38557.57,,30689.04,,0,0
2026-01-01,Lemma DSP,Lemma DSP CTV Ad,38293.23,,,,0,0
2025-07-01,TheTradeDesk,TTD - APP,38003.95,,,18827.09,0,0
2025-04-01,Beeswax,Beeswax UR Improvement Tier 2 (Mid UR),37719.25,,,,0,0
2026-07-01,Pubmatic,SEEDTAG (DON'T USE),37233.06,37233.06,,,0,0
2026-04-01,DV360,Bidswitch - CTV - 1st Price,36394.91,,13988.55,,0,0
2025-10-01,Adtelligent,Adtelligent - CTV - A+E Networks $15,36286.48,,,,0,0
2025-04-01,GroundTruth,GroundTruth Video CTV - No LatLong,35388.9,,,,0,0
2025-10-01,TheTradeDesk,TTD - APP,35346.22,,,,0,0
2025-04-01,TheTradeDesk,TTD - APP,35133.22,,,,0,0
2026-04-01,TheTradeDesk,TTD - APP [Display],34942.94,,17061.34,,0,0
2025-10-01,TheTradeDesk,TTD - APP [Display],34628.31,,,,0,0
2025-01-01,Adtheorent,Ad Theorent - Desktop/MW Display,34116.47,,,,0,0
2025-01-01,Epsilon (Conversant),Conversant - Web - Open Auction - Video,32728.78,,,,0,0
2025-10-01,GroundTruth,GroundTruth Video CTV,32145.59,,,,0,0
2026-01-01,Adtelligent,Adtelligent - CTV - A+E Networks $15,31489.85,,,,0,0
2025-01-01,GroundTruth,GroundTruth Video CTV,31356.62,,,,0,0
2025-07-01,Beeswax,Beeswax UR Improvement Tier 2 (Mid UR),30946.39,,,7822.9,0,0
2025-04-01,Amazon DSP,Bidswitch - Seedtag,30453.0,,,,0,0
2025-01-01,SimpliFi,SimpliFi - CTV - 1st Price,30399.33,,,,0,0
2025-07-01,GroundTruth,GroundTruth Video CTV,30202.41,,,11335.16,0,0
2025-04-01,Amazon DSP,Bidswitch - APP 1st Price,28936.14,,,,0,0
2025-07-01,Walmart,TTD - CTV (1st Price),28641.7,,,25318.07,0,0
2025-01-01,TheTradeDesk,TTD - APP [Display],28431.74,,,,0,0
2025-10-01,Sharethrough,Sharethrough Web (Open Auction),27310.8,,,,0,0
2025-01-01,DV360,Bidswitch - Desktop - 1st Price (HB),26865.95,,,,0,0
2025-01-01,Yahoo DSP,Yahoo - CTV - Open Auction,26551.63,,,,0,0
2026-04-01,Xandr,Xandr CTV,26382.13,,16523.93,,0,0
2025-07-01,TheTradeDesk,TTD - Desktop - 1st Price (HB),26208.75,,,14543.03,0,0
2025-04-01,Sharethrough,Sharethrough Web (Open Auction),25973.27,,,,0,0
2025-01-01,Beeswax,Beeswax - CTV - Open Auction - Paramount,25778.73,,,,0,0
2025-07-01,Viant,Viant - MW - 1st Price,25393.85,,,3454.34,0,0
2026-07-01,Yahoo DSP,Yahoo - In-App,24961.47,24961.47,,,0,0
2026-07-01,DV360,Bidswitch - CTV - 1st Price,24580.5,24580.5,,,0,0
2026-01-01,TheTradeDesk,TTD - APP [Display],24315.25,,,,0,0
2026-01-01,Basis Technologies,Centro Video Web (1st Price),24093.44,,,,0,0
2025-01-01,SundaySky,SundaySky - Desktop - 1st Price,23854.06,,,,0,0
2025-01-01,Amobee,Amobee - CTV - 1st Price,23844.94,,,,0,0
2025-04-01,DV360,Bidswitch - Seedtag,23811.84,,,,0,0
2025-07-01,Amazon DSP,Bidswitch - Seedtag,23716.91,,,9152.86,0,0
2026-01-01,Amazon DSP,Bidswitch - Seedtag,23296.89,,,,0,0
2025-01-01,Viant,Viant - APP,23121.94,,,,0,0
2025-01-01,GroundTruth,GroundTruth Video CTV - No LatLong,23054.67,,,,0,0
2026-01-01,DV360,Bidswitch - CTV - 1st Price,22947.96,,,,0,0
2025-07-01,Adtheorent,Ad Theorent - CTV - 1st Price,22709.76,,,15774.04,0,0
