quarter,connection_type,business_line,product_category,dsp_group_name,channel_id,rev_gross
2025-04-01,BidSwitch,Open Auction - BFM,Display,Lift,Lift,0.02
2025-07-01,BidSwitch,Open Auction - BFM,Display,Adform,Adform,0.02
2026-01-01,BidSwitch,Open Auction - BFM,CTV,Webeye,Webeye,0.02
2025-01-01,Direct,Select - BFM,CTV,Xandr,AppNexus,0.02
2026-01-01,BidSwitch,Open Auction - BFM,CTV,Excelate,Excelate,0.02
2025-10-01,BidSwitch,Open Auction - Seedtag,Online Video,AdMixerBidswitch,AdMixerBidswitch,0.02
2026-07-01,Direct,Open Auction - BFM,CTV,SamsungBidswitch,SamsungBidswitch,0.01
2025-10-01,BidSwitch,Open Auction - BFM,Display,Streamworx Lda.,Streamworx Lda.,0.01
2025-10-01,Direct,DSP Marketplace - BFM,Display,Conversant,Epsilon (Conversant),0.01
2026-04-01,BidSwitch,Open Auction - BFM,CTV,Between Exchange,Between Exchange,0.01
2026-07-01,BidSwitch,Open Auction - BFM,CTV,Webeye,Webeye,0.01
2025-04-01,BidSwitch,Open Auction - BFM,Display,Zeta DSP,Zeta DSP,0.01
2025-10-01,Direct,DSP Marketplace - BFM,Display,TheTradeDesk,TheTradeDesk,0.01
2025-01-01,BidSwitch,Select - BFM,CTV,Infillion,Infillion,0.01
2026-01-01,Direct,DSP Marketplace - BFM,Display,Conversant,Epsilon (Conversant),0.01
2025-07-01,BidSwitch,Open Auction - Seedtag,Native,StackAdapt,StackAdapt,0.01
2025-01-01,Direct,DSP Marketplace - BFM,CTV,4INFO,4INFO,0.0
2025-04-01,Direct,Select - BFM,CTV,Marketing Architects,Marketing Architects -RTB,0.0
