m,bl,dsp,cva,ad,did,rev
2025-10-01,Open Auction - BFM,Zeta DSP,—,Bidswitch - MW [Display],,0.0
2026-08-01,Open Auction - BFM,Infillion,—,Bidswitch - Desktop [Display],,0.0
2025-11-01,Open Auction - BFM,Walmart,—,TTD - Desktop [Display],,3.01
2025-07-01,Select - BFM,Viant,IRIS,Viant - Sonny's BBQ - Contextual CTV_BFM,IRIS00351,627.44
2025-07-01,Open Auction - BFM,Media Pulse,—,Rogers iCTV,,0.0
2025-11-01,Open Auction - BFM,Bidswitch,—,Bidswitch - CTV (AMC),,0.0
2025-10-01,Open Auction - BFM,LoopMe,—,LoopMe DSP Lottery Campaign copy (deal mimic),,860.57
2025-08-01,Open Auction - BFM,DV360,—,Bidswitch - APP,,1.81
2025-08-01,Open Auction - BFM,SundaySky,—,SundaySky - Desktop - 1st Price,,3871.22
2025-08-01,DSP Marketplace - BFM,TheTradeDesk,—,TTD Deal - Bully Pulpit CTV (Local News),154412565624,104.18
2025-10-01,Select - BFM,Xandr,IRIS,MNI - Science & Tech CTV_BFM,IRIS73,0.0
2025-08-01,DSP Marketplace - BFM,Octillion,—,Octillion Deal - CTV - A+E,747279147159,1221.15
2025-11-01,Open Auction - BFM,GlewedTV,—,Glewed.tv - Indirect Programmatic - $15,,0.0
2025-10-01,Open Auction - BFM,Viant,—,0,,0.0
2025-07-01,Open Auction - BFM,—,—,2507 - MGMPLUS - JULY XCH - SERIES - MGMPHD20311-12,,88.06
2026-08-01,Open Auction - BFM,DV360,—,Bidswitch - Desktop - 1st Price (HB),,0.05
2025-12-01,DSP Marketplace - BFM,Infillion,Beachfront Deal Curation,Bidswitch Deal - Infillion -  CTV/InApp - FEP/CTV $10 and below (Average Clearing Pice),223910661417,12030.21
2025-12-01,Open Auction - BFM,Zeta DSP,—,Bidswitch - MW [Display],,0.0
2025-08-01,Select - BFM,Xandr,Quorum,Quorum Optimized > MSFT > High Index Zips - KFC Visitors - CTV,Quoru64,0.12
2025-10-01,DSP Marketplace - BFM,Yahoo DSP,Beachfront Deal Curation,Yahoo - OLV HIGH VCR - Digital Remedy Deal,583917204166,13.38
2025-08-01,Open Auction - BFM,Viant,—,Viant - Desktop,,16866.02
2025-07-01,DSP Marketplace - BFM,Basis Technologies,Beachfront Deal Curation,Basis Deal - CTV - Skechers 2025 - Men 45+ - Sports,558690500585,777.29
2025-09-01,DSP Marketplace - BFM,StackAdapt,Beachfront Deal Curation,StackAdapt_Standard Inventory Packages_Beachfront_2025_Reality,Beach178,704.26
2025-07-01,DSP Marketplace - BFM,StackAdapt,Beachfront Deal Curation,StackAdapt_Standard Inventory Packages_Beachfront_2025_Genre Level Reporting,Beach177,0.0
2025-09-01,DSP Marketplace - BFM,Epsilon (Conversant),Beachfront Deal Curation,NBA - CTV - Contextual -  Tentpole Deal - Conversant,Beach130,5.19
2025-09-01,DSP Marketplace - BFM,SimpliFi,—,Simpli.fi Deal - CTV (Haystack TV),808246222774,9.72
2025-11-01,DSP Marketplace - BFM,GroundTruth,Beachfront Deal Curation,MLB - CTV - Contextual - Tentpole Deal - GroundTruth,Beach140,0.46
2025-12-01,Open Auction - BFM,IPONWEB BidCore,—,Bidswitch - CTV (Charter),,0.24
2025-08-01,Open Auction - BFM,Infillion,—,Bidswitch - CTV - 1st Price (Bundle 151908),,0.49
2025-10-01,Select - BFM,Beeswax,MNTN,Beeswax Deal - MNTN - CTV - WeatherNation TV - Adjust,MNTN001,0.0
2025-08-01,Open Auction - BFM,Zeta DSP,—,Bidswitch - Desktop [Display],,0.0
2025-07-01,DSP Marketplace - BFM,StackAdapt,Beachfront Deal Curation,StackAdapt Deal - CTV - Live Sports - Political,BFMSA004,9.25
2025-11-01,Select - BFM,Quantcast,Quorum,Quorum > Holiday Shoppers > Physical Visitors,Quoru198,0.0
2025-07-01,Select - BFM,—,IRIS,IRIS.TV - Viant - IRIS-enabled CTV_BFM,,0.0
2025-11-01,DSP Marketplace - BFM,TheTradeDesk,—,TTD Deal - Bully Pulpit - CTV (Political - Center Leaning),748305990,0.0
2025-07-01,Open Auction - BFM,—,—,Ad Theorent - Desktop/MW - 1st Price,,0.0
2026-07-01,Select - BFM,Walmart,Chief Media,Live Soccer - Walmart DSP,16351684984351,48.74
2026-07-01,Select - BFM,Viant,Viant,GameShow,BFViantGameShow,30.9
2026-08-01,DSP Marketplace - BFM,Viant,Beachfront Deal Curation,Viant - Jetsetters & Travel Enthusiasts -  Liz,584972780815,0.0
2026-08-01,DSP Marketplace - BFM,Viant,Beachfront Deal Curation,Viant Deal - CTV - Walter County Tourism (Channels/Networks),196835969212,3.62
2025-12-01,Open Auction - BFM,GroundTruth,—,GroundTruth Display,,44.25
2025-11-01,Open Auction - BFM,OTT Advisors (Demand),—,OTT Advisors Deal - CTV - (Univision) (Bundles),,0.0
2025-08-01,Select - BFM,Stirista,Audigent,Audigent & Beachfront - AUD-066529 - Optimum Media - Multiple Brands - CTV ContextualPMP - Baseball US - ctv,Audig1783,0.01
2025-08-01,Open Auction - BFM,—,—,TruOptik CTV Pixel,,0.0
2025-08-01,DSP Marketplace - BFM,Beeswax,Beachfront Deal Curation,Travel - CTV - Tentpole Deal - VideoAmp,Beach155,15.29
2025-07-01,DSP Marketplace - BFM,Beeswax,Beachfront Deal Curation,MLB - CTV - Contextual - Tentpole Deal - VideoAmp,Beach150,0.58
2025-11-01,DSP Marketplace - BFM,Viant,—,Viant Deal - CTV (Direct Fixed $8),389866043594,29095.51
2025-09-01,Open Auction - BFM,—,—,2509 - MGMPLUS - BILLY THE KID S3 TRAILER Cutdown - MGMPHD363273 (MOVIES),,143.41
2025-07-01,DSP Marketplace - BFM,4INFO,—,4INFO Deal - CTV - T1 Indirect - (BET),"040759591379, 40759591379",0.01
2025-08-01,Select - BFM,TheTradeDesk,Strategus,Strategus Deal - CTV - Live Sports,BFM105,0.18
2025-09-01,DSP Marketplace - BFM,Viant,Beachfront Deal Migration,Viant Deal - CTV (Sports - All),973650277866,87.43
2025-09-01,Select - BFM,TheTradeDesk,Media Culture,MC_BCH_CA_Plex_CTV,BCHCAPL,4.84
2026-07-01,DSP Marketplace - BFM,Basis Technologies,Beachfront Deal Curation,Basis - Thriller Adaptations,161309148448,0.0
2026-07-01,DSP Marketplace - BFM,Bidswitch,Beachfront Deal Curation,Bidswitch Deal - CTV - Zeta - Paramount (No Pluto),732808904693,0.0
2026-07-01,Open Auction - BFM,Bidswitch,—,Bidswitch - CTV (AMC),,0.0
2026-07-01,DSP Marketplace - BFM,JamLoop OpenRTB,Beachfront Deal Curation,JamLoop - Winter Olympics Coverage - CTV,561084972336,0.0
2026-08-01,DSP Marketplace - BFM,Viant,Beachfront Deal Curation,Viant Live Sports CTV Deal,631904827154,0.0
2025-11-01,Select - BFM,Bidswitch,Quorum,Quorum > Wholesale Shoppers > Physical Visitors,Quoru220,0.0
2025-08-01,Select - BFM,Stirista,Audigent,Audigent & Beachfront - AUD-066519 - Optimum Media - Multiple Brands - CTV SmartPMP - US -CTV PoliticalCompliant,Audig1774,0.0
2025-08-01,DSP Marketplace - BFM,SimpliFi,BFM Internal,Simpli.Fi Deal - CTV - SportsGrid,133806220723,0.42
2025-07-01,DSP Marketplace - BFM,Basis Technologies,Beachfront Deal Curation,Basis Deal - CTV - Skechers 2025 - Women 45+ - Lifestyle,662154926548,1935.94
2025-07-01,DSP Marketplace - BFM,Basis Technologies,—,Basis Deal - Network CTV (Warner Bros Discovery),BFMNET010,591.02
2025-07-01,Select - BFM,Xandr,Quorum,Quorum Optimized > MSFT > High Index Zips - Arby's Visitors - CTV,Quoru78,0.03
2025-07-01,Open Auction - BFM,Viant,—,Viant - MW - 1st Price,,22.16
2025-12-01,Select - BFM,Yahoo DSP,Camelot,PMG - Pub Targeting,PMGPub,1124.29
2025-09-01,Select - BFM,Xandr,Quorum,Quorum Optimized > Viant > High Index Zips - New & Used Automotive Dealer Visitors - CTV,Quoru45,1.06
2025-07-01,Open Auction - BFM,Epsilon (Conversant),—,Conversant - CTV - Open Auction,,16265.33
2025-08-01,Open Auction - BFM,Between Exchange,—,Bidswitch - MW - 1st Price (HB),,0.0
2025-07-01,Select - BFM,TheTradeDesk,Strategus,0,"STRAT002, 300416284256",0.0
2025-11-01,DSP Marketplace - BFM,—,Beachfront Deal Migration,TTD Deal - Competitive Conquest Subaru - CTV,,0.0
2025-08-01,Open Auction - BFM,—,—,2507 - MGMPLUS - INSTITUTE S1 PROMO - MOVIES - MGMPHD363209 ,,4.92
2025-09-01,Open Auction - BFM,—,—,F0040483 UEL FASE LIGA J2 MULTICHANNEL JUEVES 1PM 20,,0.0
2026-07-01,DSP Marketplace - BFM,DV360,Beachfront Deal Curation,Seedtag NeuroX | Always-On | Sustainability & Energy Experts - Connected TV,STNXCTV003,14.24
2026-07-01,Select - BFM,TheTradeDesk,Chief Media,Live Soccer - Walmart DSP,16351684984351,0.0
2026-08-01,Open Auction - BFM,SmartClip,—,Philips_SC_Mexico,,0.0
2025-12-01,Open Auction - BFM,Knorex,—,Bidswitch - CTV (Charter),,0.06
2025-11-01,Open Auction - BFM,Viant,—,Viant - Linear (Sports),,0.0
2025-08-01,Select - BFM,Xandr,Quorum,Quorum Optimized > MSFT > High Index Zips - KFC Visitors - Banner,Quoru63,0.0
2025-08-01,Open Auction - BFM,Bidswitch,—,Bidswitch - APP,,0.0
2025-10-01,Open Auction - BFM,Adtelligent,—,Adtelligent - CTV - A+E Networks $15,,9341.03
2025-10-01,Open Auction - BFM,DeepIntent,—,DeepIntent - Seedtag,,0.0
2025-10-01,DSP Marketplace - BFM,Epsilon (Conversant),Beachfront Deal Curation,NBA - Live - CTV - Contextual - Tentpole Deal - Conversant,Beach129,0.07
2025-09-01,DSP Marketplace - BFM,SimpliFi,BFM Internal,Simpli.Fi Deal - FOX,277471236734,70.44
2025-09-01,DSP Marketplace - BFM,StackAdapt,Beachfront Deal Curation,StackAdapt_Standard Inventory Packages_Beachfront_2025_Entertainment,Beach164,0.55
2025-09-01,DSP Marketplace - BFM,Beeswax,—,Beeswax Deal - VideoAmp - CTV - Always On (Efficiency Monitoring),112854873831,166.37
2025-07-01,Open Auction - BFM,OnSpot Data,—,Bidswitch - Desktop [Display],,2.51
2025-07-01,Select - BFM,Viant,IRIS,IRIS.TV - Viant - Family & Relationships CTV_BFM,IRIS00316,36.94
2025-07-01,Open Auction - BFM,Viant,—,Viant - MW [Display],,2283.75
2025-10-01,Open Auction - BFM,Adtheorent,—,Ad Theorent - CTV - 1st Price,,4425.54
2025-09-01,Select - BFM,Yahoo DSP,Audigent,"PMG & Beachfront - SDEAL-21045 - PMG - PMG - PMG - ctv SmartPMP - Credit Seeking Card Switcher, High Credit Card Balance US",Audig1754,0.0
2025-09-01,DSP Marketplace - BFM,StackAdapt,Beachfront Deal Curation,StackAdapt_Standard Inventory Packages_Beachfront_2025_News,Beach166,0.0
2026-07-01,Open Auction - BFM,—,—,2606 - MGMPLUS - WESTIES PRE-PREMIERE - Promo A - MGMPHD363429 - SERIES,,6.18
2025-11-01,DSP Marketplace - BFM,TheTradeDesk,—,Select Fees RevShare 20%,RevShare20,0.01
2025-11-01,Open Auction - BFM,Infillion,—,Bidswitch - CTV (Charter),,0.02
2026-07-01,Select - BFM,Yahoo DSP,Camelot,Yahoo - Curated CTV,PMGCuratedCTV,12468.8
2026-07-01,DSP Marketplace - BFM,Viant,—,Viant - Linear (News),223928671615,224.0
2026-07-01,Select - BFM,Viant,Quorum,Quorum Optimized > Viant > High Index Zips - McDonald's Visitors - Banner,Quoru55,2.04
2026-08-01,Open Auction - BFM,AdElement,—,Bidswitch - APP Display,,0.0
2026-08-01,DSP Marketplace - BFM,SmartyAds,Beachfront Deal Curation,SmartyAds - Sports Football - 2026 Deal,Beach253,0.0
2026-08-01,DSP Marketplace - BFM,StackAdapt,BFM Internal,StackAdapt Deal - CTV - Plex,406265079126,2.66
2025-11-01,DSP Marketplace - BFM,Basis Technologies,Beachfront Deal Curation,Basis Deal - CTV - Fingerlakes Gaming 2025,332440817016,0.0
2025-08-01,DSP Marketplace - BFM,4INFO,—,4INFO Deal - CTV - T1 Indirect - (AMC),439710757338,0.0
2025-09-01,DSP Marketplace - BFM,TheTradeDesk,—,TTD Deal - OpAd Media - AMC en Espanol CTV,298129641956,3.63
2025-09-01,DSP Marketplace - BFM,Bidswitch,Beachfront Deal Curation,__DEAL__PA__CASUALIQ__SPORTS__ALL-SPORTS-CTV__US__USD__SPORTS-FANS,CasualIQ2,0.0
2025-11-01,Open Auction - BFM,Madopi,—,Bidswitch - MW [Display],,0.0
2025-07-01,Select - BFM,TheTradeDesk,Aki,Aki Deal - CTV - Guilty Pleasure Moment,Aki13,10.76
2025-07-01,Open Auction - BFM,—,—,F0031633 PFL GENERICO 25,,0.0
2025-07-01,DSP Marketplace - BFM,Bidswitch,Beachfront Deal Curation,Bidswitch Deal - Zeta - CTV - Political (Pol),542428290418,0.0
2025-07-01,DSP Marketplace - BFM,Bidswitch,—,T-Ads_CTV_Beachfront_Philo_$14,208381486364,0.0
2025-07-01,Open Auction - BFM,StackAdapt,—,StackAdapt - CTV - Open Auction - Efficiency Monitoring,,5160.31
2025-12-01,Open Auction - BFM,DeepIntent,—,DeepIntent Web/InApp Display,,35.09
2025-12-01,DSP Marketplace - BFM,TheTradeDesk,—,TTD Deal - In Market SUV Subaru - CTV,782973249332,31591.75
2025-11-01,Open Auction - BFM,SmartyAds,—,SmartyAds - Web [Display],,71.67
2025-07-01,Open Auction - BFM,Basis Technologies,—,0,,0.0
2025-07-01,DSP Marketplace - BFM,Epsilon (Conversant),Beachfront Deal Curation,MLB Live Supply - Conversant,Beach134,0.28
2025-09-01,Select - BFM,Stirista,Audigent,Audigent & Beachfront - AUD-066529 - Optimum Media - Multiple Brands - CTV ContextualPMP - Football US - ctv,Audig1792,0.0
2025-07-01,DSP Marketplace - BFM,4INFO,—,4INFO Deal - CTV - T1 Indirect - (TBS),251976083544,0.0
2025-07-01,DSP Marketplace - BFM,4INFO,—,Cadent_HGTV_PMP,839140517552,-0.0
2025-12-01,Open Auction - BFM,Promo-PSA,—,Test Ad: PSA :30 (ready.gov) #9,,0.0
2026-07-01,Open Auction - BFM,Viant,—,0,,0.0
2025-12-01,Select - BFM,DV360,Quorum,Quorum > Hanukkah Shoppers > Physical Visitors,Quoru197,0.0
2026-08-01,DSP Marketplace - BFM,GroundTruth,Beachfront Deal Curation,GroundTruth Sensitive Category Deal - Nicotine - Desktop,Beach120,0.0
2026-08-01,DSP Marketplace - BFM,TheTradeDesk,Beachfront Deal Migration,TTD Deal - Competitive Conquest Subaru - CTV (Spanish Language Targeting),391798492869,358.63
2026-08-01,Select - BFM,TheTradeDesk,Aki,Aki Deal - CTV -  RON,Aki1,1504.22
2025-08-01,DSP Marketplace - BFM,Octillion,Beachfront Deal Migration,Octillion Deal - CTV - Hispanic,649700474243,225.2
2025-07-01,DSP Marketplace - BFM,Bidswitch,—,Pride Month - Tentpole - LGBTQ Content - CTV (Inventory Targeted),BFM104,0.0
2025-07-01,DSP Marketplace - BFM,JamLoop OpenRTB,—,JamLoop Deal - CTV - SamsungAds - $9 - Bundles - DON&#039;T TOUCH QPS,948945611529,131.16
2025-12-01,Open Auction - BFM,Marketperf,—,Bidswitch - MW [Display],,0.0
2025-11-01,Open Auction - BFM,OnSpot Data,—,Bidswitch - APP 1st Price,,4.43
2025-11-01,Open Auction - BFM,DV360,—,Bidswitch - CTV (AMC),,6.09
2025-12-01,Select - BFM,TheTradeDesk,Quorum,Quorum - Weekend Shoppers - Physical Visitors,Quoru217,0.0
2025-11-01,Select - BFM,Yahoo DSP,Camelot,Yahoo - Curated CTV,PMGCuratedCTV,159.43
2025-08-01,Select - BFM,Beeswax,Simulmedia,PlayerWON-Ribeye-FY25,PlayerWONRibeyeFY25,0.01
2025-07-01,DSP Marketplace - BFM,Viant,—,Viant Deal - CTV - Univision RON,622863670680,0.0
2025-10-01,Select - BFM,Bidswitch,MultiLocal,T9_mlm_TA_US_CT_CTV_BF_MLMBRID4972,Multi24,0.0
2025-09-01,Select - BFM,Viant,Viant,Rightwing tv,BFRightWing,0.0
2025-07-01,DSP Marketplace - BFM,Epsilon (Conversant),Beachfront Deal Curation,Conversant Pharma Category Targeting - Video/CTV,Beach115,182.04
2025-07-01,Open Auction - BFM,Epsilon (Conversant),—,Conversant - Web - Open Auction - Display,,868.32
2025-07-01,DSP Marketplace - BFM,JamLoop OpenRTB,—,JamLoop Deal - OLV - Outbrain - CNN &amp; Fox,340705124938,0.0
2025-11-01,DSP Marketplace - BFM,Bidswitch,—,Bidswitch Deal - Roku - CTV - Women that are into fitness,799449392308,0.0
2025-07-01,Open Auction - BFM,BizzClick,—,BizzClick - App (Indirect),,0.0
2026-07-01,DSP Marketplace - BFM,Bidswitch,Beachfront Deal Curation,CTV Contextual Sports Samsung Deal,471828048081,0.0
2026-07-01,DSP Marketplace - BFM,Bidswitch,Beachfront Deal Curation,Seedtag NeuroX | Always-On | Streaming & Content Connoisseurs - Connected TV,STNXCTV004,0.0
2026-07-01,DSP Marketplace - BFM,MadHive,BFM Internal,MadHive Deal - CTV - Frndly - No Content Data,809610338399,1.73
2025-08-01,Select - BFM,Stirista,Audigent,Audigent & Beachfront - AUD-066529 - Optimum Media - Multiple Brands - CTV ContextualPMP - Soccer US - ctv,Audig1787,0.0
2025-07-01,DSP Marketplace - BFM,SimpliFi,Beachfront Deal Curation,Simpli.Fi Deal - CTV - TCL,547546029077,0.11
2025-07-01,Select - BFM,Xandr,Quorum,Quorum Optimized > MSFT > High Index Zips - Smoothie King Visitors - Banner,Quoru105,0.0
2025-12-01,DSP Marketplace - BFM,GroundTruth,Beachfront Deal Curation,GroundTruth Deal - CTV - Paramount Non-Pluto,116958799688,580.61
2025-11-01,Open Auction - BFM,Yahoo DSP,—,Yahoo - Desktop MW - Open Auction - Efficiency Monitoring,,743.65
2025-11-01,Open Auction - BFM,—,—,F0039506 MLS TIPSTERS NEW GENERICA 30,,0.0
2025-08-01,DSP Marketplace - BFM,Basis Technologies,—,Basis Deal - CTV Genre - News,BFM025,2184.17
2025-08-01,Open Auction - BFM,TheTradeDesk,—,TTD - MW - 1st Price (HB),,4735.33
2025-10-01,Select - BFM,Xandr,Quorum,Quorum Optimized > MSFT > High Index Zips - McDonald's Visitors - CTV,Quoru56,0.14
2025-07-01,DSP Marketplace - BFM,Basis Technologies,—,Basis Deal - Network CTV (Hearst News),BFMNET004,0.02
2025-07-01,Select - BFM,Marketing Architects -RTB,Amagi Reseller,Amagi QueStar - Marketing Architects,Amagi5,-0.0
2025-09-01,Select - BFM,Xandr,Quorum,Quorum Optimized > MSFT > High Index Zips - KFC Visitors - CTV,Quoru64,0.07
2025-08-01,DSP Marketplace - BFM,Viant,—,Viant Deal - CTV - (Nicotine Vaping Allowed),535917205940,0.0
2025-09-01,Select - BFM,TheTradeDesk,Infillion Demand,WeatherTech | Holiday Genre | CTV,WTholidayCTVbf,0.0
2025-11-01,Select - BFM,—,IRIS,0,,0.0
2025-07-01,Open Auction - BFM,—,—,Conversant - Web - Open Auction - Display,,0.0
2026-07-01,Open Auction - BFM,TheTradeDesk,—,TTD - APP,,5216.55
2026-08-01,DSP Marketplace - BFM,Xandr,BFM Internal,Xandr Deal - CTV - MiQ (LDA),412577962377,0.0
2025-11-01,Select - BFM,Viant,Quorum,Quorum Optimized > Viant > High Index Zips - McDonald's Visitors - Banner,Quoru55,0.38
2025-09-01,Select - BFM,Viant,IRIS,IRIS.TV - Viant - IRIS-enabled CTV_BFM,IRIS00320,717.54
2025-09-01,Select - BFM,Stirista,Audigent,Audigent & Beachfront - AUD-066529 - Optimum Media - Multiple Brands - CTV ContextualPMP - Spanish Language US - ctv,Audig1780,0.2
2025-12-01,Select - BFM,Bidswitch,Quorum,Quorum > Athletes > Physical Visitors,Quoru188,0.0
2025-12-01,Select - BFM,TheTradeDesk,Strategus,TTD Deal - CTV - Wades RV - National News - Live,Strat56,152.44
2025-11-01,DSP Marketplace - BFM,SimpliFi,Beachfront Deal Curation,SimpliFi Deal - CTV - A+E Networks (Obfuscation),894567458141,22.37
2025-07-01,Open Auction - BFM,DV360,—,Bidswitch - CTV (Charter),,0.0
2025-10-01,DSP Marketplace - BFM,SimpliFi,—,Simpli.fi Deal - CTV (Vizio),231262416313,89.63
2025-08-01,Select - BFM,Xandr,Quorum,Quorum Optimized > MSFT > High Index Zips - Chipotle Visitors - Banner,Quoru59,0.0
2025-10-01,DSP Marketplace - BFM,SimpliFi,—,Simplifi Deal - CTV LDA Approved,993808143903,85673.33
2025-08-01,DSP Marketplace - BFM,Viant,—,Viant Deal - CTV - Xite-Vevo,523575281782,0.58
2025-07-01,Open Auction - BFM,DV360,—,Bidswitch -RTB- Getintent-Whitelist- Web Display,,0.0
2025-09-01,DSP Marketplace - BFM,JamLoop OpenRTB,—,JamLoop Deal - CTV - Fox News - Network Targeted - Zip List,888956426019,0.0
2025-08-01,Select - BFM,TheTradeDesk,Simulmedia,PlayerWON - McDonalds-FY25,PlayerWONMcDonaldsFY25,0.0
2025-11-01,DSP Marketplace - BFM,Beeswax,Beachfront Deal Curation,Beeswax - CTV - VideoAmp - Entertainment,VideoAmp99362,447.87
2025-07-01,Open Auction - BFM,Viant,—,Viant Deal - Desktop/MW (OLV Political - Left Leaning),,0.0
2025-12-01,Select - BFM,DV360,Quorum,Quorum > Athletes > Physical Visitors,Quoru188,0.0
2026-07-01,Select - BFM,Beeswax,Simulmedia,Simulmedia Beeswax Connection Rewarded (new),Simul3,0.0
2026-08-01,DSP Marketplace - BFM,Bidswitch,Beachfront Deal Curation,Seedtag NeuroX | Always-On | Fashion Retail Shoppers - Connected TV,STNXCTV008,0.0
2026-08-01,DSP Marketplace - BFM,JamLoop OpenRTB,BFM Internal,JamLoop Deal - CTV - EW Scripps - Vegas Golden Knights,612418020365,0.0
2026-08-01,Open Auction - BFM,—,—,F0047509 CF JULIO 26 GENEROS LUN-DOM 30,,0.0
2025-10-01,DSP Marketplace - BFM,TheTradeDesk,—,TTD Deal - In Market SUV Subaru - CTV,782973249332,10272.99
2025-11-01,DSP Marketplace - BFM,StackAdapt,—,StackAdapt Deal - CTV - Plex,406265079126,273.68
2025-09-01,Select - BFM,Xandr,Quorum,Quorum Optimized > MSFT > High Index Zips - Hyundai Dealership Visitors - Banner,Quoru121,0.0
2025-09-01,Select - BFM,Xandr,Quorum,Quorum Optimized > MSFT > High Index Zips - Marriott Hotel Visitors - CTV,Quoru48,3.04
2025-09-01,Select - BFM,Xandr,Quorum,Quorum Optimized > MSFT > High Index Zips - Sonic Visitors - Banner,Quoru81,0.0
2025-08-01,Open Auction - BFM,—,—,1PlayWorks test,,0.01
2025-07-01,DSP Marketplace - BFM,Basis Technologies,Beachfront Deal Curation,Basis Deal - CTV - Skechers 2025 - Women 45+ - Reality (Hallmark),711907073746,0.53
2025-12-01,DSP Marketplace - BFM,Bidswitch,Beachfront Deal Curation,Bidswitch Deal - CTV - Zeta - Paramount (No Pluto),732808904693,0.0
2025-07-01,DSP Marketplace - BFM,TheTradeDesk,—,TTD Deal - CTV - $11 Lockard & Wechsler RON,231435167392,0.0
2025-12-01,Select - BFM,Viant,Viant,GameShow,BFViantGameShow,213.62
2025-10-01,Open Auction - BFM,DV360,—,Bidswitch - CTV - 1st Price (Bundle 151908),,335.93
2025-11-01,Select - BFM,Bidswitch,Quorum,Quorum > Pet Lovers > Physical Visitors,Quoru230,0.0
2025-07-01,Open Auction - BFM,Infillion,—,Bidswitch - APP 1st Price,,32.84
2025-09-01,DSP Marketplace - BFM,StackAdapt,Beachfront Deal Curation,StackAdapt Deal - CTV - News - Political,BFMSA001,3001.36
2025-07-01,Select - BFM,Xandr,Quorum,Quorum Optimized > MSFT > High Index Zips - Friendly's Visitors - Banner,Quoru95,0.0
2025-08-01,Open Auction - BFM,Adtheorent,—,Ad Theorent - Desktop Video (LQPS Audit),,0.69
2025-08-01,DSP Marketplace - BFM,TheTradeDesk,Beachfront Deal Migration,TTD Deal - CTV ($18),955413904519,104.83
2025-08-01,DSP Marketplace - BFM,TheTradeDesk,—,TTD Deal - CTV - MIQ - Hearst News,860644267470,0.08
2025-10-01,Open Auction - BFM,—,—,F0040453 F1 GP SINGAPORE DOMINGO 30,,0.0
2025-07-01,DSP Marketplace - BFM,IQM,—,IQM Deal - CTV - Sports RON - Politics Allowed,839419934913,9.18
2025-09-01,DSP Marketplace - BFM,4INFO,—,4INFO Deal - CTV - Genre Music,809033757075,0.0
2025-09-01,DSP Marketplace - BFM,4INFO,—,Cadent_We TV_PMP,111278368904,0.0
2025-07-01,Open Auction - BFM,4INFO,—,Cadent_OutsideTV_PMP,,0.0
2025-07-01,Open Auction - BFM,—,—,Conversant - CTV - Open Auction,,0.0
2025-09-01,Open Auction - BFM,—,—,Bidswitch - MW [Display],,0.0
2026-07-01,Open Auction - BFM,—,—,2607 - MGMPLUS - JULY XCH - MGMP23457-13 - MOVIES,,227.89
2026-08-01,Select - BFM,Adtelligent,A+E Networks,Adtilligent Deal,AENet1,0.34
2026-08-01,DSP Marketplace - BFM,Epsilon (Conversant),Beachfront Deal Curation,Conversant - Seedtag Q1 Tentpole - Spring Break - Contextual CTV,Beach222,0.65
2026-08-01,Open Auction - BFM,The Media Sense,—,The Media Sense DSP Inapp Video,,0.0
2025-10-01,Open Auction - BFM,SmartyAds,—,SmartyAds - CTV (Fubo),,0.35
2025-11-01,Open Auction - BFM,DV360,—,Bidswitch - CTV - 1st Price (Bundle 151908),,692.1
2025-09-01,Select - BFM,Viant,Audigent,Audigent & Beachfront - AUD-066527 - Optimum Media - Multiple Brands - CTV ContextualPMP - Spanish Language Sports US - ctv,Audig1788,0.0
2025-09-01,Select - BFM,Viant,Viant,Fox News,BFViantFoxNews2024,415.69
2025-08-01,Open Auction - BFM,IPONWEB BidCore,—,Bidswitch - CTV - 1st Price (Bundle 151908),,1.21
2025-07-01,Open Auction - BFM,Walmart,—,TTD - CTV (1st Price),,21721.79
2025-11-01,Open Auction - BFM,Viant,—,Viant - CTV - 1st Price,,248906.84
2025-10-01,Select - BFM,TheTradeDesk,Aki,Aki Deal - CTV - Weekend Morning Moments,Aki14,0.0
2025-10-01,DSP Marketplace - BFM,Xandr,BFM Internal,Xandr Deal - CTV - MiQ (LDA),412577962377,13.74
2025-07-01,DSP Marketplace - BFM,Bidswitch,Beachfront Deal Curation,SamsungAds Efficiency Line,314668390400,0.0
2025-09-01,DSP Marketplace - BFM,Bidswitch,Beachfront Deal Curation,__DEAL__PA__CASUALIQ__MULTICULTURAL__DIVERSE-AUDIENCES-CTV__US__USD__REPRESENTATIVE-CONTENT,CasualIQ3,0.0
2025-09-01,DSP Marketplace - BFM,GroundTruth,Beachfront Deal Curation,GroundTruth Deal - Mobile Web - Always On - Video,Beach187,0.0
2025-12-01,Open Auction - BFM,—,—,VTV VERTA  Dummy Ad,,0.0
2025-07-01,DSP Marketplace - BFM,4INFO,—,Cadent_Syfy_PMP,596631837926,0.0
2026-08-01,DSP Marketplace - BFM,Bidswitch,Beachfront Deal Curation,Wellness & Mindful Living Advocates - DV360 - Marketplace,STNXCTV019,0.0
2025-11-01,DSP Marketplace - BFM,SimpliFi,—,Simpli.fi Deal - CTV - (AMC),614613336893,10.74
2025-07-01,DSP Marketplace - BFM,SimpliFi,—,SimpliFi Deal - CTV  (Syncbak),560166540285,45.62
2025-09-01,DSP Marketplace - BFM,TheTradeDesk,—,TTD Deal - Bully Pulpit CTV (Local News),154412565624,519.28
2025-09-01,DSP Marketplace - BFM,TheTradeDesk,Beachfront Deal Migration,TTD Deal - HavasEdge - CTV RON,676738569288,0.0
