m,bl,dsp,cva,ad,did,rev
2025-11-01,DSP Marketplace - BFM,SimpliFi,Beachfront Deal Migration,SimpliFi Deal - CTV (RON),546471010694,4189.76
2025-10-01,Open Auction - BFM,Viant,—,Viant - MW - 1st Price,,12599.69
2025-09-01,Select - BFM,TheTradeDesk,Strategus,TTD - Strategus - CTV - $12 and Below,STRAT002,32639.27
2025-07-01,DSP Marketplace - BFM,StackAdapt,Beachfront Deal Curation,StackAdapt Deal - CTV - AMC Networks - Political,346689052286,25.99
2025-11-01,DSP Marketplace - BFM,GroundTruth,Beachfront Deal Migration,GroundTruth Deal - CTV - Premium Bundles List,783317263332,15003.46
2025-09-01,Open Auction - BFM,OnSpot Data,—,Bidswitch - APP 1st Price,,0.23
2025-12-01,DSP Marketplace - BFM,TheTradeDesk,—,TTD Deal - HavasEdge - FEP Univision Spanish Inventory,618884101622,0.0
2025-12-01,DSP Marketplace - BFM,Octillion,BFM Internal,Octillion Deal - CTV - A&E Network Adjust,747279147159,5.05
2025-09-01,Open Auction - BFM,SmartyAds,—,SmartyAds - Web [Display],,278.99
2025-07-01,Select - BFM,Yahoo DSP,Camelot,PMG - Pub Targeting,PMGPub,59737.17
2025-07-01,Open Auction - BFM,—,—,F0036102 F2 Y F3 GENÉRICA PILOTOS MEXICANOS 20S,,0.0
2025-09-01,Open Auction - BFM,Marketperf,—,Bidswitch -RTB- Getintent-Whitelist- Web Display,,0.0
2026-08-01,DSP Marketplace - BFM,MadHive,BFM Internal,MadHive Deal - CTV - Frndly - With Content Data,492043061198,0.0
2026-08-01,Open Auction - BFM,TheTradeDesk,—,TTD - Desktop - 1st Price (HB),,131.95
2025-08-01,Select - BFM,Xandr,Quorum,Quorum Optimized > MSFT > High Index Zips - Resorts World Visitors - CTV,Quoru50,16.92
2025-08-01,DSP Marketplace - BFM,Octillion,Beachfront Deal Curation,Octillion Deal - CTV - Fox Local TV,638579853073,8931.91
2025-10-01,Open Auction - BFM,StackAdapt,—,0,,0.0
2025-12-01,Open Auction - BFM,Adtelligent,—,Adtelligent - CTV,,1845.75
2025-08-01,DSP Marketplace - BFM,Walmart,—,TTD Deal - Walmart - Premium CTV,785432338,6.62
2025-08-01,Open Auction - BFM,Demandbase,—,DemandBase - CTV,,384.86
2025-09-01,Select - BFM,Bidswitch,MultiLocal,mCanvas_mlm_Roku_US_CTV_BF_MLMBRID7304,Multi42,0.0
2025-07-01,Open Auction - BFM,—,—,F0035630 MLB PEPE SEGARRA GENERICA 2025 10,,0.0
2025-11-01,DSP Marketplace - BFM,Viant,Beachfront Deal Migration,Viant Deal - CTV - Golf (Master&#039;s Enthusiast Segment),408551131456,657.17
2025-10-01,DSP Marketplace - BFM,Basis Technologies,Beachfront Deal Migration,Basis Deal - CTV RON - $10 Floor,893090891708,1197.96
2025-10-01,Select - BFM,Xandr,Quorum,Quorum Optimized > MSFT > High Index Zips - Arby's Visitors - CTV,Quoru78,0.0
2025-10-01,Select - BFM,Xandr,Quorum,Quorum Optimized > MSFT > High Index Zips - Friendly's Visitors - CTV,Quoru96,1.01
2025-09-01,Open Auction - BFM,Promo-PSA,—,Test Ad: PSA :30 (ready.gov) #9,,0.0
2025-09-01,Open Auction - BFM,—,—,F0040263 NFL RAMS VS EAG + BRON VS CHARG FS2 DOMINGO 30,,0.0
2025-09-01,DSP Marketplace - BFM,Viant,—,Viant Deal - CTV - Sports Genre,361724531028,1.29
2025-09-01,Open Auction - BFM,Infillion,—,Bidswitch - CTV (Charter),,0.0
2025-07-01,DSP Marketplace - BFM,Zeta DSP,Beachfront Deal Curation,Bidswitch Deal - Zeta - CTV - Political (Pol),542428290418,0.0
2026-07-01,Open Auction - BFM,Zeasn,—,Philips Zeasn,,0.69
2026-07-01,Select - BFM,TheTradeDesk,Chief Media,TTD - Chief Media - Walmart - CTV - Pub Targeting - Deal,476519491695,0.0
2026-07-01,DSP Marketplace - BFM,Viant,Beachfront Deal Curation,Viant - Political - All Voters ,263290147805,0.0
2025-09-01,DSP Marketplace - BFM,GroundTruth,Beachfront Deal Curation,MLB - CTV - Contextual - Tentpole Deal - GroundTruth,Beach140,14.74
2025-09-01,Open Auction - BFM,Yahoo DSP,—,Yahoo - Desktop MW - Open Auction - Efficiency Monitoring,,429.02
2025-09-01,Open Auction - BFM,—,—,CTV SeedTag,,0.0
2025-08-01,Open Auction - BFM,SmartyAds,—,SmartyAds - CTV (1st Price),,1129.78
2025-12-01,Open Auction - BFM,Walmart,—,TTD - CTV (1st Price),,16.17
2025-11-01,DSP Marketplace - BFM,TheTradeDesk,—,TTD Deal - CTV - Seedtag Priority Pubs,122056032436,0.65
2025-08-01,DSP Marketplace - BFM,SimpliFi,—,Simpli.Fi Deal - Politics Allowed CTV (Comscore Data),418855721664,0.0
2025-12-01,DSP Marketplace - BFM,MadHive,—,MadHive Deal - CTV - Frndly - With Content Data,492043061198,0.0
2025-07-01,DSP Marketplace - BFM,TheTradeDesk,—,TTD Deal - CTV - Lockard & Wechsler - $7 PP,356251814318,0.0
2025-07-01,Open Auction - BFM,Stirista,—,Stirista - APP [Display],,0.0
2025-09-01,Select - BFM,TheTradeDesk,Infillion Demand,ez cater | Business Professionals | CTV,ezCBizInfilBeachVidCTV,0.0
2025-07-01,Open Auction - BFM,GroundTruth,—,GroundTruth Video CTV - No LatLong,,2843.97
2025-09-01,Select - BFM,IPONWEB BidCore,Infillion Demand,Pulte RON - Display 2,InfPulteRON2,0.0
2025-07-01,DSP Marketplace - BFM,TheTradeDesk,Beachfront Deal Migration,0,"730946633654, 747415045888",0.0
2025-12-01,Open Auction - BFM,Adform,—,Bidswitch - Desktop - 1st Price (HB),,0.01
2025-09-01,Select - BFM,Marketperf,Infillion Demand,Pulte RON - Display 2,InfPulteRON2,0.0
2026-07-01,Open Auction - BFM,Epsilon (Conversant),—,Conversant - CTV - Open Auction,,994.67
