quarter,advertiser,ad_name,rev_gross,rev_qtd_current,rev_qtd_prev_qtd,rev_qtd_prev_year,impressions
2025-07-01,Basis Technologies,Centro Display Web,40697.25,,,12623.48,0
2026-01-01,Beeswax,Beeswax UR Improvement Tier 2 (Mid UR),40055.14,,,,0
2025-04-01,Amobee,Amobee - CTV - 1st Price,39451.27,,,,0
2025-10-01,Basis Technologies,Centro Video Web (1st Price),39067.85,,,,0
2026-01-01,Sharethrough,Sharethrough CTV Video,38880.56,,,,0
2025-10-01,Yahoo DSP,Yahoo - CTV - Open Auction,38801.14,,,,0
2026-04-01,Sharethrough,Sharethrough CTV Video,38557.57,,20501.13,,0
2026-01-01,Lemma DSP,Lemma DSP CTV Ad,38293.23,,,,0
2025-07-01,TheTradeDesk,TTD - APP,38003.95,,,12061.46,0
2025-04-01,Beeswax,Beeswax UR Improvement Tier 2 (Mid UR),37719.25,,,,0
2026-07-01,Pubmatic,SEEDTAG (DON'T USE),37233.06,37233.06,,,0
2026-07-01,Basis Technologies,Basis - CTV - oRTB - (US),36593.37,36593.37,,,0
2026-04-01,DV360,Bidswitch - CTV - 1st Price,36394.91,,5986.69,,0
2025-10-01,Adtelligent,Adtelligent - CTV - A+E Networks $15,36286.48,,,,0
2025-04-01,GroundTruth,GroundTruth Video CTV - No LatLong,35388.9,,,,0
2025-10-01,TheTradeDesk,TTD - APP,35346.22,,,,0
2025-04-01,TheTradeDesk,TTD - APP,35133.22,,,,0
2026-04-01,TheTradeDesk,TTD - APP [Display],34942.94,,9966.61,,0
2025-10-01,TheTradeDesk,TTD - APP [Display],34628.31,,,,0
2025-01-01,Adtheorent,Ad Theorent - Desktop/MW Display,34116.47,,,,0
2025-01-01,Epsilon (Conversant),Conversant - Web - Open Auction - Video,32728.78,,,,0
2025-10-01,GroundTruth,GroundTruth Video CTV,32145.59,,,,0
2026-01-01,Adtelligent,Adtelligent - CTV - A+E Networks $15,31489.85,,,,0
2026-07-01,Beeswax,Beeswax UR Improvement Tier 2 (Mid UR),31451.19,31451.19,,,0
2025-01-01,GroundTruth,GroundTruth Video CTV,31356.62,,,,0
2025-07-01,Beeswax,Beeswax UR Improvement Tier 2 (Mid UR),30946.39,,,5063.0,0
2025-04-01,Amazon DSP,Bidswitch - Seedtag,30453.0,,,,0
2025-01-01,SimpliFi,SimpliFi - CTV - 1st Price,30399.33,,,,0
2025-07-01,GroundTruth,GroundTruth Video CTV,30202.41,,,7966.27,0
2025-04-01,Amazon DSP,Bidswitch - APP 1st Price,28936.14,,,,0
2025-07-01,Walmart,TTD - CTV (1st Price),28641.7,,,19897.9,0
2025-01-01,TheTradeDesk,TTD - APP [Display],28431.74,,,,0
2025-10-01,Sharethrough,Sharethrough Web (Open Auction),27310.8,,,,0
