dsp_group_name,connection_type,business_line,product_category,ytd_current_year,ytd_previous_year,change_pct
Amobee,Direct,PMP CTV - O&O,CTV,94980.37000000001,7157.91,1226.928810225331
DeepIntent,Reseller,Open Auction - Seedtag,Online Video,93990.79491217139,78076.77405623859,20.38252866911478
TheTradeDesk,Direct,Direct External Web,Display,92339.32630887865,64315.92491485483,43.57148160602965
RtbHouse,Reseller,Open Auction - Seedtag,Native,87749.49345236336,34777.27214368351,152.31850586159624
Illumin,Direct,Open Auction - Seedtag,Display,84744.99019187968,18016.002448033818,370.38731503463106
LoopMe,Direct,Open Auction - BFM,CTV,83938.34999999999,74035.20999999999,13.37625705390719
Nexxen,Reseller,PMP Web - O&O,Online Video,82502.4435787201,0,
PulsePoint,Reseller,PMP External Web,Display,80711.99942672689,0,
Viant,Reseller,Open Auction - Seedtag,Online Video,80709.57010270975,4747.1900598840075,1600.1545985011985
Simpli.fi,Reseller,Open Auction - Seedtag,Display,76861.33832507451,27313.981626059074,181.39924591493636
Adobe DSP,Reseller,Open Auction - Seedtag,Display,74727.33565135906,19559.338413950103,282.05451569906916
Smaato,Reseller,Open Auction - Seedtag,Display,74130.91946141934,40256.89899855114,84.14463434972309
Lemma DSP,Direct,Open Auction - BFM,CTV,73816.74,44174.45,67.10279358316858
TheTradeDesk,Reseller,PMP External Web,Native,73715.2944633382,9584.564197039354,669.1042904810284
Amazon DSP,Reseller,PMP External CTV,CTV,73368.03812881315,0,
Blis Media,Reseller,Open Auction - Seedtag,Display,73350.78025621892,15873.807068103342,362.0868827592669
Opera,Direct,Open Auction - Seedtag,Display,72263.524393325,40804.177361934635,77.09834890762468
Zeta DSP,BidSwitch,DSP Marketplace - BFM,CTV,71699.21999999999,126013.56999999996,-43.1019849687617
Nexxen,Direct,Open Auction - Seedtag,Native,70839.95063654045,0,
Pubmatic,Reseller,Direct External Web,Display,70716.68900445758,0,
TheTradeDesk,Direct,Open Auction - BFM,Display,70699.19,72483.83,-2.462121551799897
Xandr,Direct,Open Auction - Seedtag,Online Video,69970.5551675248,33704.36417496868,107.60087567380975
Viant,Reseller,PMP Web - O&O,Display,67938.73376951553,0,
Yahoo DSP,Reseller,PMP Web - O&O,Display,66886.16280959919,140.49455035477877,47507.656411367796
Conversant,Direct,Open Auction - Seedtag,Display,66537.84285543334,0,
Viant,Direct,Open Auction - Seedtag,Online Video,65794.79320310627,0,
Adform,Reseller,PMP Web - O&O,Online Video,64455.764023430645,41664.739858173765,54.70098755647397
sky media,Direct,Open Auction - BFM,CTV,64351.89000000001,81661.56,-21.19683973708069
Adobe DSP,Reseller,Open Auction - Seedtag,Online Video,63991.870312963336,10441.4057838421,512.8664246723338
Smadex,Reseller,Open Auction - Seedtag,Native,62202.83250500766,2266.238767538045,2644.7607637822925
Go.Pl,Reseller,Open Auction - Seedtag,Display,61472.99007149403,857.6295832098112,7067.7786395172925
Cognitiv,Reseller,Open Auction - Seedtag,Display,61189.99559359274,17355.60147244009,252.56626335168906
JamLoop OpenRTB,Direct,DSP Marketplace - BFM,CTV,60087.70999999998,159921.66999999998,-62.42678681381955
DSP Not Found,Reseller,Direct Web - O&O,Display,57648.795717779314,0,
Adform,Reseller,Open Auction - Seedtag,Online Video,57151.624510960224,64649.859006378436,-11.598222502973172
SundaySky,Reseller,Open Auction - Seedtag,Online Video,54672.63237399631,9404.20913681807,481.3634254469046
Yahoo DSP,Reseller,Open Auction - Seedtag,Native,52866.09180305521,16671.018556114486,217.1137481798635
Cognitiv,Reseller,Open Auction - Seedtag,Online Video,50707.54838490077,24506.61331032781,106.91373280669146
Blockboard DSP,Reseller,Open Auction - Seedtag,Online Video,50216.47684709091,15840.260924871727,217.0179903302165
Aqua DSP - RTB,Reseller,Open Auction - Seedtag,Online Video,49462.12478373526,0,
Clickagy,Reseller,Open Auction - Seedtag,Display,48649.81077142549,15119.69789412908,221.764436776981
DeepIntent,Direct,DSP Marketplace - BFM,CTV,45946.159999999996,3281.4700000000007,1300.1700457416944
Yahoo DSP,Reseller,PMP Web - O&O,Online Video,45906.254118273035,0,
Opera,Reseller,Open Auction - Seedtag,Display,45849.804543332735,1231.350207487375,3623.538946478216
DeepIntent,Reseller,PMP External CTV,CTV,45452.919762034726,0,
Zeta DSP,Reseller,Open Auction - Seedtag,Display,45297.01065308984,19840.70109657733,128.30347794969762
Baidu,Reseller,Open Auction - Seedtag,Native,45002.97593593166,6213.035368957676,624.3315587865636
Quantcast,Reseller,Open Auction - Seedtag,Native,44192.11022586547,0,
RtbHouse,Direct,Open Auction - Seedtag,Online Video,43467.9908830729,82121.5341825327,-47.06870577155077
Molocoads DSP,Reseller,Open Auction - Seedtag,Online Video,43040.837612463096,8861.86576804411,385.68595755160686
Pubmatic,Reseller,Direct External CTV,CTV,41802.16524437279,0,
Adtheorent,Direct,Open Auction - BFM,CTV,40929.81000000001,54046.130000000005,-24.268749677358937
TheTradeDesk,Direct,Direct External CTV,CTV,39906.28051079049,483076.94012659765,-91.73914604569359
Storygize,Reseller,Open Auction - Seedtag,Display,38655.108617602134,3740.902431156428,933.309724831627
Emodo,Reseller,Open Auction - Seedtag,Online Video,37909.9879776108,0,
Quantcast,Reseller,PMP Web - O&O,Online Video,35927.337543964386,0,
ClearLine,Reseller,Open Auction - Seedtag,Online Video,35778.56694869449,30.59005125812837,116861.44817406095
33Across,Reseller,Open Auction - Seedtag,Display,35019.43697134554,2981.9858235508145,1074.3663130378657
Basis Technologies,Reseller,Open Auction - Seedtag,Native,34629.951960843275,11060.624888823433,213.09218338862783
Equativ Direct Demand,Reseller,PMP External Web,Online Video,34192.472846270604,0,
TAPTAP,Reseller,Open Auction - Seedtag,Display,33238.8300293622,5740.803183231939,478.99267695586644
Storygize,Reseller,Open Auction - Seedtag,Native,32958.71150775965,4310.6704940247,664.5843391056186
Simpli.fi,Reseller,Open Auction - Seedtag,Online Video,32571.495029881215,11362.29780277051,186.6629232507811
LoopMe,Reseller,Open Auction - Seedtag,Display,30892.031189548085,1367.325636973328,2159.303150193964
DSP Not Found,Reseller,Direct Web - O&O,Online Video,30234.370762643404,0,
JamLoop OpenRTB,Direct,Select - BFM,CTV,30231.179999999997,247.15000000000003,12131.915840582638
MSAN,Direct,Open Auction - Seedtag,Online Video,30105.25068189922,6052.613304275171,397.3925999970101
Travelaudience,Reseller,Open Auction - Seedtag,Display,29259.62825174751,7743.089287261071,277.88054827012576
OC GROUP TECNOLOGIA DA INFORMACAO LTDA,Reseller,Open Auction - Seedtag,Display,28050.205065962055,2979.544844818285,841.4258394111456
DSP Not Found,Direct,Open Auction - BFM,CTV,25226.980000000003,5115.590000000001,393.13920779421335
Conversant,Direct,Open Auction - BFM,CTV,24894.240000000005,283130.2300000003,-91.20749486905727
Equativ Direct Demand,Reseller,Open Auction - Seedtag,Native,24143.87033095176,148.624823419319,16144.84374513539
Madopi,Reseller,Open Auction - Seedtag,Display,23731.431176315178,3054.3734231244307,676.9656125425366
Amazon DSP,BidSwitch,Open Auction - BFM,CTV,23656.22,65784.2,-64.03966301938763
DSP Not Found,Reseller,PMP Web - O&O,Display,23362.55109665403,3234066.62566664,-99.27761070501019
